time,best_ask_price,best_bid_price,best_ask_qty,best_bid_qty,trade_price,trade_qty
0.004,27196,27195.9,1.783,11.414,27195.9,0.03
0.014,27196,27195.9,1.708,11.215,27195.9,0.003
0.041,27196,27195.9,2.589,9.151,27195.9,0.02
0.041,27196,27195.9,2.589,9.151,27195.9,0.046
0.042,27196,27195.9,2.589,9.151,27195.9,0.025
0.042,27196,27195.9,2.589,9.151,27196,0.005
0.042,27196,27195.9,2.589,9.151,27196,0.001
0.042,27196,27195.9,2.589,9.151,27196,0.001
0.042,27196,27195.9,2.589,9.151,27196,0.008
0.043,27196,27195.9,2.589,9.151,27195.9,0.013
0.043,27196,27195.9,2.589,9.151,27195.9,0.023
0.044,27196,27195.9,2.589,9.151,27195.9,0.001
0.044,27196,27195.9,2.589,8.101,27195.9,0.001
0.044,27196,27195.9,2.589,8.094,27195.9,0.001
0.044,27196,27195.9,1.789,8.094,27195.9,0.001
0.046,27196,27195.9,1.789,8.094,27196,0.007
0.046,27196,27195.9,1.789,7.359,27196,0.007
0.046,27196,27195.9,1.789,7.293,27196,0.007
0.052,27196,27195.9,1.774,7.231,27195.9,0.053
0.052,27196,27195.9,1.774,7.231,27196,0.002
0.052,27196,27195.9,1.767,7.231,27195.9,0.053
0.052,27196,27195.9,1.767,7.231,27196,0.002
0.053,27196,27195.9,1.767,7.231,27195.9,0.002
0.053,27196,27195.9,1.767,7.231,27195.9,0.014
0.053,27196,27195.9,1.767,7.178,27195.9,0.002
0.053,27196,27195.9,1.767,7.178,27195.9,0.014
0.089,27196,27195.9,1.766,6.061,27195.9,0.003
0.093,27196,27195.9,1.766,6.061,27196,0.264
0.099,27196,27195.9,1.502,6.061,27196,0.169
0.099,27196,27195.9,1.502,6.061,27196,0.001
0.099,27196,27195.9,1.502,6.061,27196,0.046
0.099,27196,27195.9,1.502,6.061,27196,0.092
0.099,27196,27195.9,1.502,6.061,27196,0.242
0.099,27196,27195.9,1.502,6.061,27196,0.06
0.099,27196,27195.9,1.502,6.061,27196,0.001
0.099,27196,27195.9,1.502,6.061,27196,0.008
0.099,27196,27195.9,1.502,6.061,27196,0.002
0.099,27196,27195.9,1.502,6.061,27196,0.88
0.099,27196,27195.9,1.502,6.061,27196,0.001
0.099,27196,27195.9,1.502,6.061,27196.1,0.001
0.099,27196,27195.9,1.502,6.061,27196.1,0.001
0.099,27196,27195.9,1.502,6.061,27196.1,0.001
0.099,27196,27195.9,1.502,6.061,27196.1,0.02
0.099,27196,27195.9,1.502,6.061,27196.1,0.001
0.099,27196,27195.9,1.502,6.061,27196.1,0.001
0.099,27196,27195.9,1.502,6.061,27196.1,0.083
0.099,27196,27195.9,1.502,6.061,27196.2,0.001
0.099,27196,27195.9,1.502,6.061,27196.2,0.001
0.1,27196,27195.9,1.502,6.061,27196.3,0.001
0.1,27196,27195.9,1.502,6.061,27196.3,0.008
0.1,27196,27195.9,1.502,6.061,27196.4,0.001
0.1,27196,27195.9,1.502,6.061,27196.4,0.01
0.1,27196,27195.9,1.502,6.061,27196.5,0.001
0.1,27196,27195.9,1.502,6.061,27196.5,0.001
0.1,27196,27195.9,1.502,6.061,27196.5,0.963
0.101,27196,27195.9,1.502,6.061,27196.5,0.037
0.101,27196,27195.9,1.502,6.061,27196.5,0.001
0.101,27196,27195.9,1.502,6.061,27196.5,0.001
0.101,27196,27195.9,1.502,6.061,27196.5,0.001
0.101,27196,27195.9,1.502,6.061,27196.5,0.01
0.101,27196,27195.9,1.502,6.061,27196.6,0.001
0.101,27196,27195.9,1.502,6.061,27196.6,0.001
0.101,27196,27195.9,1.502,6.061,27196.6,0.001
0.101,27196,27195.9,1.502,6.061,27196.6,0.001
0.11,27197,27196.9,0.275,6.077,27196.9,0.001
0.11,27197,27196.9,0.275,6.077,27197,0.114
0.113,27197,27196.9,0.275,6.077,27196.9,0.058
0.113,27197,27196.9,0.275,6.077,27196.9,0.007
0.121,27197,27196.9,0.275,5.983,27196.9,0.029
0.123,27197,27196.9,0.275,5.983,27196.9,0.149
0.128,27197,27196.9,0.275,5.834,27197,0.002
0.141,27197,27196.9,0.273,5.664,27196.9,0.17
0.161,27197,27196.9,0.273,5.475,27196.9,0.131
0.161,27197,27196.9,0.273,5.475,27196.9,0.058
0.182,27197,27196.9,0.273,5.47,27196.9,0.005
0.19,27197,27196.9,0.273,5.47,27196.9,0.049
0.191,27197,27196.9,0.273,5.47,27196.9,0.02
